"dt_referencia","dt_atualizacao","confirmados","obitos","tx_obitos","recuperados","tx_recuperados","isolamento","tx_isolamento","enfermaria","tx_enfermaria","uti","tx_uti","testes_novos","testes_acumulados","tx_testes","leitos_uti","tx_oc_uti","leitos_enf","tc_oc_enf"
"2020-07-24","2020-07-25","86752","6299","0.073","62949","0.726","451","0.005","3715","0.043","354","0.004","4994","194835","20295.3125","837","0.74","987","0.55"
"2020-07-23","2020-07-24","85042","6237","0.073","61995","0.729","332","0.004","3869","0.045","362","0.004","5310","189841","19775.1041666667","837","0.73","987","0.54"
"2020-07-22","2020-07-23","83234","6211","0.075","60360","0.725","330","0.004","3819","0.046","348","0.004","5319","184531","19221.9791666667","837","0.73","957","0.55"
"2020-07-21","2020-07-22","81382","6152","0.076","60119","0.739","333","0.004","3879","0.048","348","0.004","2696","179212","18667.9166666667","837","0.73","957","0.55"
"2020-07-20","2020-07-21","80441","6089","0.076","58821","0.731","302","0.004","3909","0.049","337","0.004","1746","176516","18387.0833333333","827","0.76","957","0.54"
"2020-07-19","2020-07-20","80115","6036","0.075","58582","0.731","285","0.004","4019","0.05","334","0.004","1765","174770","18205.2083333333","827","0.75","957","0.54"
"2020-07-18","2020-07-19","79452","5984","0.075","56615","0.713","289","0.004","3966","0.05","334","0.004","2727","173005","18021.3541666667","803","0.77","968","0.53"
"2020-07-17","2020-07-18","78509","5928","0.076","56268","0.717","277","0.004","3953","0.05","337","0.004","2888","170278","17737.2916666667","803","0.75","968","0.56"
"2020-07-16","2020-07-17","77423","5869","0.076","54243","0.701","326","0.004","4004","0.052","331","0.004","3881","167390","17436.4583333333","803","0.76","968","0.56"
"2020-07-15","2020-07-16","76091","5836","0.077","53970","0.709","323","0.004","3990","0.052","328","0.004","3595","163509","17032.1875","803","0.75","968","0.55"
"2020-07-14","2020-07-15","74960","5772","0.077","53355","0.712","372","0.005","4057","0.054","337","0.004","3908","159914","16657.7083333333","803","0.76","968","0.54"
"2020-07-13","2020-07-14","73576","5715","0.078","52972","0.72","365","0.005","4165","0.057","329","0.004","1720","156006","16250.625","803","0.77","968","0.54"
"2020-07-12","2020-07-13","72901","5652","0.078","51905","0.712","387","0.005","4160","0.057","343","0.005","1751","154286","16071.4583333333","803","0.73","968","0.45"
"2020-07-11","2020-07-12","72470","5595","0.077","50850","0.702","384","0.005","4153","0.057","344","0.005","3734","152535","15889.0625","801","0.72","968","0.47"
"2020-07-10","2020-07-11","71370","5556","0.078","50457","0.707","391","0.005","4167","0.058","341","0.005","3771","148801","15500.1041666667","801","0.7","968","0.48"
"2020-07-09","2020-07-10","70100","5482","0.078","49483","0.706","368","0.005","4237","0.06","358","0.005","3998","145030","15107.2916666667","801","0.69","968","0.47"
"2020-07-08","2020-07-09","68767","5409","0.079","47996","0.698","441","0.006","4296","0.062","355","0.005","3566","141032","14690.8333333333","801","0.69","968","0.46"
"2020-07-07","2020-07-08","67604","5323","0.079","47881","0.708","444","0.007","4303","0.064","350","0.005","4053","137466","14319.375","801","0.69","968","0.46"
"2020-07-06","2020-07-07","66151","5234","0.079","46722","0.706","443","0.007","4276","0.065","349","0.005","1759","133413","13897.1875","801","0.7","968","0.46"
"2020-07-05","2020-07-06","65642","5163","0.079","46417","0.707","429","0.007","4336","0.066","359","0.005","1592","131654","13713.9583333333","796","0.72","968","0.45"
"2020-07-04","2020-07-05","65129","5143","0.079","44568","0.684","514","0.008","4299","0.066","349","0.005","4615","130062","13548.125","796","0.74","968","0.45"
"2020-07-03","2020-07-04","63457","5116","0.081","44314","0.698","499","0.008","4301","0.068","345","0.005","2432","125447","13067.3958333333","796","0.74","968","0.44"
"2020-07-02","2020-07-03","62362","5068","0.081","42456","0.681","432","0.007","4292","0.069","331","0.005","2752","123015","12814.0625","796","0.75","968","0.42"
"2020-07-01","2020-07-02","61119","4968","0.081","41925","0.686","356","0.006","4506","0.074","348","0.006","3493","120263","12527.3958333333","796","0.76","968","0.43"
"2020-06-30","2020-07-01","59705","4894","0.082","41343","0.692","448","0.008","4542","0.076","347","0.006","1765","116770","12163.5416666667","796","0.74","968","0.43"
"2020-06-29","2020-06-30","58858","4829","0.082","40347","0.685","462","0.008","4566","0.078","346","0.006","853","115005","11979.6875","796","0.77","968","0.44"
"2020-06-28","2020-06-29","58476","4782","0.082","40088","0.686","481","0.008","4564","0.078","336","0.006","996","114152","11890.8333333333","776","0.77","968","0.44"
"2020-06-27","2020-06-28","58107","4751","0.082","39956","0.688","475","0.008","4526","0.078","334","0.006","2297","113156","11787.0833333333","768","0.8","968","0.44"
"2020-06-26","2020-06-27","57089","4708","0.082","38489","0.674","533","0.009","4446","0.078","330","0.006","2891","110859","11547.8125","762","0.79","968","0.43"
"2020-06-25","2020-06-26","55804","4610","0.083","38185","0.684","495","0.009","4390","0.079","342","0.006","1334","107968","11246.6666666667","762","0.79","968","0.45"
"2020-06-24","2020-06-25","55136","4488","0.081","36996","0.671","513","0.009","4559","0.083","350","0.006","2466","106634","11107.7083333333","762","0.81","968","0.45"
"2020-06-23","2020-06-24","54022","4425","0.082","36710","0.68","566","0.01","4545","0.084","338","0.006","2521","104168","10850.8333333333","762","0.81","968","0.44"
"2020-06-22","2020-06-23","52831","4339","0.082","35805","0.678","553","0.01","4581","0.087","346","0.007","786","101647","10588.2291666667","762","0.83","968","0.44"
"2020-06-21","2020-06-22","52494","4252","0.081","35462","0.676","665","0.013","4608","0.088","343","0.007","851","100861","10506.3541666667","745","0.83","968","0.43"
"2020-06-20","2020-06-21","52113","4234","0.081","33952","0.652","803","0.015","4629","0.089","340","0.007","2376","100010","10417.7083333333","745","0.84","968","0.4"
"2020-06-19","2020-06-20","51118","4148","0.081","33497","0.655","788","0.015","4770","0.093","338","0.007","2947","97634","10170.2083333333","745","0.83","968","0.41"
"2020-06-18","2020-06-19","49720","4102","0.083","32008","0.644","813","0.016","4753","0.096","333","0.007","2772","94687","9863.22916666667","745","0.82","946","0.43"
"2020-06-17","2020-06-18","48626","4057","0.083","31703","0.652","817","0.017","4731","0.097","328","0.007","2452","91915","9574.47916666667","745","0.83","946","0.42"
"2020-06-16","2020-06-17","47446","4009","0.084","30986","0.653","886","0.019","4743","0.1","321","0.007","2489","89463","9319.0625","745","0.82","933","0.44"
"2020-06-15","2020-06-16","46427","3959","0.085","30767","0.663","854","0.018","4679","0.101","315","0.007","1809","86974","9059.79166666667","731","0.85","893","0.46"
"2020-06-14","2020-06-15","45507","3886","0.085","28894","0.635","1101","0.024","4699","0.103","304","0.007","610","85165","8871.35416666667","721","0.87","888","0.57"
"2020-06-13","2020-06-14","45261","3855","0.085","28770","0.636","1080","0.024","4623","0.102","302","0.007","1376","84555","8807.8125","721","0.94","888","0.6"
"2020-06-12","2020-06-13","44671","3784","0.085","27903","0.625","1060","0.024","4625","0.104","286","0.006","1660","83179","8664.47916666667","711","0.94","873","0.58"
"2020-06-11","2020-06-12","43872","3694","0.084","27141","0.619","1033","0.024","4628","0.105","333","0.008","2239","81519","8491.5625","721","0.94","873","0.63"
"2020-06-10","2020-06-11","42994","3633","0.085","25794","0.6","1015","0.024","4650","0.108","263","0.006","2520","79280","8258.33333333333","711","0.94","873","0.63"
"2020-06-09","2020-06-10","41935","3531","0.084","25569","0.61","921","0.022","4632","0.11","263","0.006","2206","76760","7995.83333333333","701","0.95","873","0.63"
"2020-06-08","2020-06-09","41010","3453","0.084","23721","0.578","757","0.018","5078","0.124","249","0.006","666","74554","7766.04166666667","701","0.96","855","0.62"
"2020-06-07","2020-06-08","40705","3350","0.082","23417","0.575","766","0.019","5195","0.128","226","0.006","1136","73888","7696.66666666667","688","0.96","855","0.63"
"2020-06-06","2020-06-07","40242","3305","0.082","21773","0.541","929","0.023","5551","0.138","196","0.005","2107","72752","7578.33333333333","688","0.96","855","0.62"
"2020-06-05","2020-06-06","39361","3270","0.083","21485","0.546","917","0.023","5460","0.139","195","0.005","2093","70645","7358.85416666667","688","0.97","855","0.63"
"2020-06-04","2020-06-05","38511","3205","0.083","20983","0.545","878","0.023","5503","0.143","213","0.006","2303","68552","7140.83333333333","688","0.95","855","0.63"
"2020-06-03","2020-06-04","37507","3134","0.084","20375","0.543","1001","0.027","5469","0.146","215","0.006","2449","66249","6900.9375","684","0.97","855","0.68"
"2020-06-02","2020-06-03","36463","3012","0.083","18950","0.52","1030","0.028","5706","0.156","225","0.006","2150","63800","6645.83333333333","684","0.98","855","0.68"
"2020-06-01","2020-06-02","35508","2933","0.083","18590","0.524","1068","0.03","5829","0.164","223","0.006","1029","61650","6421.875","674","0.98","855","0.68"
"2020-05-31","2020-06-01","34900","2875","0.082","16432","0.471","1070","0.031","5556","0.159","217","0.006","945","60621","6314.6875","672","0.97","827","0.7"
"2020-05-30","2020-05-31","34450","2807","0.081","15342","0.445","1051","0.031","5488","0.159","225","0.007","2016","59676","6216.25","672","0.96","827","0.75"
"2020-05-29","2020-05-30","33427","2740","0.082","13892","0.416","1015","0.03","5368","0.161","224","0.007","2482","57660","6006.25","662","0.98","827","0.74"
